sz.év.;Kategória;nem;1.nap összidõ;2.nap összidõ;3.nap összidõ;4.nap összidõ;eredmény;Megtett táv (km);befejezte;eredmény(perc);átlagos tempó (perc/km);sebesség kategória
1977.0;F3;F;0 days 03:45:17;0 days 04:16:06;0 days 03:17:53;0 days 04:06:46;0 days 15:26:02;196.0;True;926.0;4.724489795918367;gyors
1973.0;F3;F;0 days 03:41:35;0 days 04:17:07;0 days 03:27:56;0 days 04:10:49;0 days 15:37:27;196.0;True;937.0;4.780612244897959;gyors
1972.0;F3;F;0 days 03:49:25;0 days 04:23:22;0 days 03:25:54;0 days 04:12:07;0 days 15:50:48;196.0;True;950.0;4.846938775510204;gyors
1986.0;F1;F;0 days 03:51:39;0 days 04:26:00;0 days 03:24:44;0 days 04:08:31;0 days 15:50:54;196.0;True;950.0;4.846938775510204;gyors
1977.0;F3;F;0 days 03:50:36;0 days 04:22:50;0 days 03:28:49;0 days 04:23:56;0 days 16:06:11;196.0;True;966.0;4.928571428571429;gyors
1964.0;F4;F;0 days 03:48:15;0 days 04:18:53;0 days 03:29:14;0 days 04:31:16;0 days 16:07:38;196.0;True;967.0;4.933673469387755;gyors
1981.0;F2;F;0 days 03:51:44;0 days 04:30:50;0 days 03:30:53;0 days 04:18:15;0 days 16:11:42;196.0;True;971.0;4.954081632653061;gyors
1978.0;F2;F;0 days 03:54:25;0 days 04:22:23;0 days 03:36:10;0 days 04:22:27;0 days 16:15:25;196.0;True;975.0;4.974489795918367;gyors
1983.0;N1;N;0 days 03:46:26;0 days 04:24:52;0 days 03:39:02;0 days 04:26:26;0 days 16:16:46;196.0;True;976.0;4.979591836734694;gyors
1975.0;F3;F;0 days 03:51:14;0 days 04:31:55;0 days 03:41:52;0 days 04:25:31;0 days 16:30:32;196.0;True;990.0;5.051020408163265;gyors
1977.0;F3;F;0 days 03:55:26;0 days 04:39:53;0 days 03:34:33;0 days 04:20:56;0 days 16:30:48;196.0;True;990.0;5.051020408163265;gyors
1988.0;F1;F;0 days 03:58:13;0 days 04:34:05;0 days 03:41:54;0 days 04:25:00;0 days 16:39:12;196.0;True;999.0;5.096938775510204;gyors
1974.0;F3;F;0 days 03:54:57;0 days 04:48:30;0 days 03:42:21;0 days 04:19:25;0 days 16:45:13;196.0;True;1005.0;5.127551020408164;gyors
1978.0;N2;N;0 days 03:56:53;0 days 04:33:23;0 days 03:48:37;0 days 04:34:42;0 days 16:53:35;196.0;True;1013.0;5.168367346938775;gyors
1980.0;F2;F;0 days 04:05:16;0 days 04:41:22;0 days 03:41:55;0 days 04:25:34;0 days 16:54:07;196.0;True;1014.0;5.173469387755102;gyors
1981.0;F2;F;0 days 03:55:57;0 days 04:42:38;0 days 03:46:52;0 days 04:32:41;0 days 16:58:08;196.0;True;1018.0;5.1938775510204085;gyors
1964.0;F4;F;0 days 03:56:25;0 days 04:54:44;0 days 03:38:41;0 days 04:33:08;0 days 17:02:58;196.0;True;1022.0;5.214285714285714;gyors
1960.0;F4;F;0 days 04:03:32;0 days 04:32:35;0 days 03:47:58;0 days 04:48:34;0 days 17:12:39;196.0;True;1032.0;5.26530612244898;gyors
1977.0;F3;F;0 days 04:04:38;0 days 04:49:03;0 days 03:46:09;0 days 04:36:51;0 days 17:16:41;196.0;True;1036.0;5.285714285714286;gyors
1972.0;N2;N;0 days 04:07:19;0 days 04:41:06;0 days 03:54:47;0 days 04:35:12;0 days 17:18:24;196.0;True;1038.0;5.295918367346939;gyors
1968.0;F3;F;0 days 04:17:03;0 days 04:47:36;0 days 03:47:00;0 days 04:27:05;0 days 17:18:44;196.0;True;1038.0;5.295918367346939;gyors
1978.0;N2;N;0 days 04:08:10;0 days 04:43:26;0 days 03:49:06;0 days 04:39:15;0 days 17:19:57;196.0;True;1039.0;5.301020408163265;gyors
1973.0;F3;F;0 days 04:17:49;0 days 04:54:25;0 days 03:46:40;0 days 04:24:47;0 days 17:23:41;196.0;True;1043.0;5.321428571428571;gyors
1968.0;F4;F;0 days 04:09:18;0 days 04:49:05;0 days 03:55:05;0 days 04:33:30;0 days 17:26:58;196.0;True;1046.0;5.336734693877551;gyors
